SPECIES_ID,SPECIES_NAME,COMMON_NAME,FAMILY,BI_N_YEARS,BI_FIRST_YEAR,BI_LAST_YEAR,BI_YR_COEF,BI_YR_COEF_LOW,BI_YR_COEF_UPP,BI_YR_COEF_90LOW,BI_YR_COEF_90UPP,BI_AGR,BI_AGR_LOW,BI_AGR_UPP,BI_AGR_90LOW,BI_AGR_90UPP,BI_PERC_CNG,BI_PERC_CNG_LOW,BI_PERC_CNG_UPP,BI_PERC_CNG_90LOW,BI_PERC_CNG_90UPP,GB_N_YEARS,GB_FIRST_YEAR,GB_LAST_YEAR,GB_YR_COEF,GB_YR_COEF_LOW,GB_YR_COEF_UPP,GB_YR_COEF_90LOW,GB_YR_COEF_90UPP,GB_AGR,GB_AGR_LOW,GB_AGR_UPP,GB_AGR_90LOW,GB_AGR_90UPP,GB_PERC_CNG,GB_PERC_CNG_LOW,GB_PERC_CNG_UPP,GB_PERC_CNG_90LOW,GB_PERC_CNG_90UPP
125,Habrosyne pyritoides,Buff Arches,Drepanidae,49,1968,2016,-0.020879,-0.033686,-0.009574,-0.032108,-0.011051,-0.020662,-0.033125,-0.009528,-0.031598,-0.01099,-63.292254,-80.149159,-36.84232,-78.587093,-41.164903,47,1970,2016,-0.020962,-0.034723,-0.007744,-0.032634,-0.009802,-0.020744,-0.034127,-0.007714,-0.032108,-0.009754,-61.874049,-79.754504,-29.969295,-77.713325,-36.29282
126,Thyatira batis,Peach Blossom,Drepanidae,49,1968,2016,-0.009236,-0.024645,0.002815,-0.023034,0.001036,-0.009194,-0.024344,0.002819,-0.02277,0.001036,-35.811877,-69.362727,14.468444,-66.899238,5.096589,47,1970,2016,-0.00901,-0.023349,0.003127,-0.021223,0.002036,-0.008969,-0.023079,0.003132,-0.021,0.002038,-33.93,-65.838222,15.472775,-62.328852,9.820342
127,Tethea ocularis octogesima,Figure of Eighty,Drepanidae,49,1968,2016,0.012868,-0.006514,0.042496,-0.004411,0.036968,0.012951,-0.006493,0.043412,-0.004401,0.037659,85.459956,-26.850288,668.92207,-19.082206,489.700101,47,1970,2016,0.015893,-0.003926,0.045226,-0.001147,0.041153,0.01602,-0.003919,0.046265,-0.001147,0.042011,107.729008,-16.524247,700.777229,-5.140943,563.943808
129,Ochropacha duplaris,Common Lutestring,Drepanidae,49,1968,2016,0.003988,-0.009196,0.017181,-0.006867,0.014165,0.003996,-0.009154,0.01733,-0.006844,0.014266,21.096698,-35.688246,128.118322,-28.081085,97.376453,47,1970,2016,0.004708,-0.009433,0.017464,-0.007123,0.015368,0.004719,-0.009388,0.017618,-0.007097,0.015487,24.181895,-35.202112,123.304349,-27.937614,102.775058
131,Cymatophorina diluta hartwiegi,Oak Lutestring,Drepanidae,49,1968,2016,-0.077422,-0.103164,-0.038255,-0.098988,-0.044728,-0.0745,-0.098021,-0.037533,-0.094247,-0.043743,-97.567466,-99.293,-84.05877,-99.13607,-88.316111,47,1970,2016,-0.078359,-0.104089,-0.043591,-0.099823,-0.047985,-0.075368,-0.098855,-0.042655,-0.095002,-0.046852,-97.279946,-99.167177,-86.536359,-98.986576,-89.00037
132,Achlya flavicornis,Yellow-horned,Drepanidae,49,1968,2016,0.000153,-0.009032,0.008546,-0.007221,0.007345,0.000153,-0.008992,0.008582,-0.007195,0.007372,0.739038,-35.179911,50.709869,-29.292291,42.269057,47,1970,2016,4.40E-05,-0.008552,0.008715,-0.006855,0.007264,4.40E-05,-0.008516,0.008753,-0.006832,0.007291,0.20431,-32.524715,49.31659,-27.0467,39.676461
133,Polyploca ridens,Frosted Green,Drepanidae,49,1968,2016,-0.037022,-0.055014,-0.011213,-0.052155,-0.015329,-0.036345,-0.053528,-0.01115,-0.050818,-0.015213,-83.086059,-92.868608,-41.620363,-91.819548,-52.088334,47,1970,2016,-0.038184,-0.05682,-0.014072,-0.053712,-0.018059,-0.037465,-0.055236,-0.013973,-0.052295,-0.017897,-82.734968,-92.673991,-47.654091,-91.548028,-56.4257
161,Watsonalla binaria,Oak Hook-tip,Drepanidae,49,1968,2016,-0.035591,-0.050752,-0.018177,-0.048729,-0.020986,-0.034965,-0.049485,-0.018012,-0.04756,-0.020767,-81.883879,-91.249718,-58.208432,-90.357311,-63.480089,47,1970,2016,-0.037292,-0.05329,-0.020315,-0.050687,-0.022638,-0.036606,-0.051895,-0.02011,-0.049424,-0.022384,-82.011732,-91.382134,-60.721616,-90.286095,-64.702664
163,Drepana falcataria,Pebble Hook-tip,Drepanidae,49,1968,2016,-0.012096,-0.023673,-0.006692,-0.021086,-0.007471,-0.012023,-0.023395,-0.00667,-0.020865,-0.007443,-44.043658,-67.899033,-27.474485,-63.655079,-30.135435,47,1970,2016,-0.011507,-0.021842,-0.006103,-0.01962,-0.006878,-0.011441,-0.021605,-0.006085,-0.019429,-0.006854,-41.099853,-63.385471,-24.478379,-59.445172,-27.122454
164,Falcaria lacertinaria,Scalloped Hook-tip,Drepanidae,49,1968,2016,-0.011763,-0.028081,0.000808,-0.02581,-0.001458,-0.011694,-0.02769,0.000808,-0.02548,-0.001457,-43.141792,-74.021213,3.953797,-71.02951,-6.759257,47,1970,2016,-0.011095,-0.026973,0.000666,-0.024316,-0.000865,-0.011034,-0.026612,0.000666,-0.024023,-0.000864,-39.97238,-71.083457,3.110567,-67.323959,-3.899981
