"SPECIES_ID"	"BRC_CONCEPT"	"BRC_SPECIES_NAME"	"ABH_NUMBER"	"ABH_SPECIES_NAME"	"ABH_COMMON_NAME"	"BF_NUMBER"
125	"Lep_5959"	"Habrosyne pyritoides"	"65.009"	"Habrosyne pyritoides"	"Buff Arches"	1653
126	"Lep_5956"	"Thyatira batis"	"65.008"	"Thyatira batis"	"Peach Blossom"	1652
127	"Lep_9357"	"Tethea ocularis subsp. octogesimea"	"65.010"	"Tethea ocularis octogesimea"	"Figure of Eighty"	1654
129	"Lep_5971"	"Ochropacha duplaris"	"65.013"	"Ochropacha duplaris"	"Common Lutestring"	1657
131	"Lep_9157"	"Cymatophorina diluta subsp. hartwiegi"	"65.014"	"Cymatophorina diluta hartwiegi"	"Oak Lutestring"	1658
132	"Lep_5977"	"Achlya flavicornis"	"65.016"	"Achlya flavicornis"	"Yellow Horned"	1659
133	"Lep_5980"	"Polyploca ridens"	"65.015"	"Polyploca ridens"	"Frosted Green"	1660
161	"Lep_5938"	"Watsonalla binaria"	"65.002"	"Watsonalla binaria"	"Oak Hook-tip"	1646
163	"Lep_5944"	"Drepana falcataria"	"65.005"	"Drepana falcataria"	"Pebble Hook-tip"	1648
164	"Lep_5935"	"Falcaria lacertinaria"	"65.001"	"Falcaria lacertinaria"	"Scalloped Hook-tip"	1645
165	"Lep_5953"	"Cilix glaucata"	"65.007"	"Cilix glaucata"	"Chinese Character"	1651
135	"Lep_7078"	"Orgyia antiqua"	"72.017"	"Orgyia antiqua"	"Vapourer"	2026
137	"Lep_7084"	"Calliteara pudibunda"	"72.015"	"Calliteara pudibunda"	"Pale Tussock"	2028
138	"Lep_7087"	"Euproctis chrysorrhoea"	"72.012"	"Euproctis chrysorrhoea"	"Brown-tail"	2029
139	"Lep_7090"	"Euproctis similis"	"72.013"	"Euproctis similis"	"Yellow-tail"	2030
144	"Lep_7099"	"Lymantria monacha"	"72.010"	"Lymantria monacha"	"Black Arches"	2033
172	"Lep_7114"	"Nudaria mundana"	"72.036"	"Nudaria mundana"	"Muslin Footman"	2038
173	"Lep_7105"	"Thumatha senex"	"72.037"	"Thumatha senex"	"Round-winged Muslin"	2035
174	"Lep_7111"	"Miltochrista miniata"	"72.035"	"Miltochrista miniata"	"Rosy Footman"	2037
176	"Lep_7120"	"Cybosia mesomella"	"72.038"	"Cybosia mesomella"	"Four-dotted Footman"	2040
178	"Lep_7147"	"Eilema depressa"	"72.043"	"Eilema depressa"	"Buff Footman"	2049
179	"Lep_7132"	"Eilema griseola"	"72.044"	"Eilema griseola"	"Dingy Footman"	2044
180	"Lep_7150"	"Eilema lurideola"	"72.045"	"Eilema lurideola"	"Common Footman"	2050
181	"Lep_7141"	"Eilema complana"	"72.046"	"Eilema complana"	"Scarce Footman"	2047
185	"Lep_7129"	"Eilema sororcula"	"72.049"	"Eilema sororcula"	"Orange Footman"	2043
191	"Lep_7207"	"Tyria jacobaeae"	"72.031"	"Tyria jacobaeae"	"Cinnabar"	2069
192	"Lep_7180"	"Spilosoma lubricipeda"	"72.020"	"Spilosoma lubricipeda"	"White Ermine"	2060
194	"Lep_7183"	"Spilosoma lutea"	"72.019"	"Spilosoma lutea"	"Buff Ermine"	2061
195	"Lep_7189"	"Diaphora mendica"	"72.022"	"Diaphora mendica"	"Muslin Moth"	2063
196	"Lep_7177"	"Diacrisia sannio"	"72.023"	"Diacrisia sannio"	"Clouded Buff"	2059
197	"Lep_7192"	"Phragmatobia fuliginosa"	"72.024"	"Phragmatobia fuliginosa"	"Ruby Tiger"	2064
200	"Lep_7171"	"Arctia caja"	"72.026"	"Arctia caja"	"Garden Tiger"	2057
610	"Lep_8356"	"Catocala nupta"	"72.078"	"Catocala nupta"	"Red Underwing"	2452
644	"Lep_8398"	"Lygephila pastinum"	"72.063"	"Lygephila pastinum"	"Blackneck"	2466
648	"Lep_8422"	"Rivula sericealis"	"72.002"	"Rivula sericealis"	"Straw Dot"	2474
650	"Lep_8425"	"Parascotia fuliginaria"	"72.066"	"Parascotia fuliginaria"	"Waved Black"	2475
651	"Lep_8407"	"Scoliopteryx libatrix"	"72.001"	"Scoliopteryx libatrix"	"Herald"	2469
652	"Lep_8428"	"Hypena crassalis"	"72.007"	"Hypena crassalis"	"Beautiful Snout"	2476
653	"Lep_8431"	"Hypena proboscidalis"	"72.003"	"Hypena proboscidalis"	"Snout"	2477
658	"Lep_8452"	"Schrankia costaestrigalis"	"72.061"	"Schrankia costaestrigalis"	"Pinion-streaked Snout"	2484
661	"Lep_8467"	"Herminia tarsipennalis"	"72.053"	"Herminia tarsipennalis"	"Fan-foot"	2489
662	"Lep_8476"	"Herminia grisealis"	"72.055"	"Herminia grisealis"	"Small Fan-foot"	2492
666	"Lep_8419"	"Laspeyria flexula"	"72.069"	"Laspeyria flexula"	"Beautiful Hook-tip"	2473
669	"Lep_5989"	"Alsophila aescularia"	"70.245"	"Alsophila aescularia"	"March Moth"	1663
671	"Lep_9341"	"Pseudoterpna pruinata subsp. atropunctaria"	"70.297"	"Pseudoterpna pruinata atropunctaria"	"Grass Emerald"	1665
672	"Lep_5998"	"Geometra papilionaria"	"70.299"	"Geometra papilionaria"	"Large Emerald"	1666
673	"Lep_6001"	"Comibaena bajularia"	"70.300"	"Comibaena bajularia"	"Blotched Emerald"	1667
674	"Lep_6007"	"Hemithea aestivaria"	"70.305"	"Hemithea aestivaria"	"Common Emerald"	1669
679	"Lep_6019"	"Hemistola chrysoprasaria"	"70.302"	"Hemistola chrysoprasaria"	"Small Emerald"	1673
680	"Lep_6022"	"Jodis lactearia"	"70.303"	"Jodis lactearia"	"Little Emerald"	1674
681	"Lep_6046"	"Timandra comae"	"70.029"	"Timandra comae"	"Blood-vein"	1682
682	"Lep_6031"	"Cyclophora albipunctata"	"70.032"	"Cyclophora albipunctata"	"Birch Mocha"	1677
687	"Lep_6040"	"Cyclophora punctaria"	"70.036"	"Cyclophora punctaria"	"Maiden's Blush"	1680
688	"Lep_6043"	"Cyclophora linearia"	"70.037"	"Cyclophora linearia"	"Clay Triple-lines"	1681
689	"Lep_6082"	"Scopula ternata"	"70.026"	"Scopula ternata"	"Smoky Wave"	1694
692	"Lep_6067"	"Scopula marginepunctata"	"70.023"	"Scopula marginepunctata"	"Mullein Wave"	1689
694	"Lep_6070"	"Scopula imitaria"	"70.024"	"Scopula imitaria"	"Small Blood-vein"	1690
