"","common_name","sci_name","resident","diurnal","pickiness","decline","widespread","hostplant","big","image","att"
"1","Buff Arches","Habrosyne pyritoides",TRUE,FALSE,"O",TRUE,TRUE,"",TRUE,"https://inaturalist-open-data.s3.amazonaws.com/photos/81359193/medium.jpg","(c) Michał Brzeziński, some rights reserved (CC BY-NC), uploaded by Michał Brzeziński"
"2","Peach Blossom","Thyatira batis",TRUE,FALSE,"O",TRUE,TRUE,"",TRUE,"https://inaturalist-open-data.s3.amazonaws.com/photos/75844/medium.jpg","(c) Shipher (士緯) Wu (吳), some rights reserved (CC BY-NC-SA)"
"3","Figure of Eighty","Tethea ocularis octogesima",NA,FALSE,NA,FALSE,NA,"",NA,"https://inaturalist-open-data.s3.amazonaws.com/photos/1711842/medium.jpg","(c) Tony Morris, some rights reserved (CC BY-NC)"
"4","Common Lutestring","Ochropacha duplaris",TRUE,FALSE,"O",FALSE,TRUE,"birches",FALSE,"https://inaturalist-open-data.s3.amazonaws.com/photos/46825479/medium.jpeg","(c) Alejandro Ocampo, some rights reserved (CC BY-NC), uploaded by Alejandro Ocampo"
"5","Oak Lutestring","Cymatophorina diluta hartwiegi",NA,FALSE,NA,TRUE,NA,"",NA,"https://inaturalist-open-data.s3.amazonaws.com/photos/12702286/medium.jpg","(c) richardjaybee, some rights reserved (CC BY-NC), uploaded by richardjaybee"
"6","Yellow-horned","Achlya flavicornis",TRUE,TRUE,"O",FALSE,FALSE,"",TRUE,"https://inaturalist-open-data.s3.amazonaws.com/photos/12277297/medium.jpg","(c) Nikolai Vladimirov, some rights reserved (CC BY-NC), uploaded by Nikolai Vladimirov"
"7","Frosted Green","Polyploca ridens",TRUE,FALSE,"O",TRUE,FALSE,"",FALSE,"https://static.inaturalist.org/photos/33942738/medium.jpg","(c) Paolo Mazzei, some rights reserved (CC BY-NC), uploaded by Paolo Mazzei"
"8","Oak Hook-tip","Watsonalla binaria",TRUE,TRUE,"P",TRUE,FALSE,"",FALSE,"https://inaturalist-open-data.s3.amazonaws.com/photos/70501506/medium.jpg","(c) Michał Brzeziński, some rights reserved (CC BY-NC), uploaded by Michał Brzeziński"
"9","Pebble Hook-tip","Drepana falcataria",TRUE,FALSE,"O",TRUE,TRUE,"",TRUE,"https://inaturalist-open-data.s3.amazonaws.com/photos/2581055/medium.jpg","(с) anonymous, некоторые права защищены (CC BY-SA)"
"10","Scalloped Hook-tip","Falcaria lacertinaria",TRUE,FALSE,"O",TRUE,FALSE,"",FALSE,"https://inaturalist-open-data.s3.amazonaws.com/photos/1105365/medium.jpg","(c) anonymous, some rights reserved (CC BY-SA)"
"11","Chinese Character","Cilix glaucata",TRUE,FALSE,"O",TRUE,TRUE,"",FALSE,"https://static.inaturalist.org/photos/57546789/medium.jpg","(c) Paolo Mazzei, some rights reserved (CC BY-NC), uploaded by Paolo Mazzei"
"12","The Vapourer","Orgyia antiqua",TRUE,TRUE,"P",FALSE,TRUE,"",FALSE,"https://inaturalist-open-data.s3.amazonaws.com/photos/789463/medium.jpg","(c) Dick, some rights reserved (CC BY-NC-SA)"
"13","Pale Tussock","Calliteara pudibunda",TRUE,FALSE,"P",FALSE,TRUE,"",TRUE,"https://inaturalist-open-data.s3.amazonaws.com/photos/133786501/medium.jpg","(c) Michał Brzeziński, some rights reserved (CC BY-NC), uploaded by Michał Brzeziński"
"14","Brown-tail","Euproctis chrysorrhoea",TRUE,FALSE,"P",TRUE,FALSE,"",FALSE,"https://inaturalist-open-data.s3.amazonaws.com/photos/28910942/medium.jpeg","(c) Stuart Tingley, some rights reserved (CC BY-NC), uploaded by Stuart Tingley"
"15","Yellow-tail","Euproctis similis",TRUE,FALSE,"P",TRUE,TRUE,"",TRUE,"https://inaturalist-open-data.s3.amazonaws.com/photos/1021969/medium.jpg","(c) naturalhistoryman, some rights reserved (CC BY-NC-ND)"
"16","Black Arches","Lymantria monacha",TRUE,FALSE,"P",FALSE,FALSE,"",TRUE,"https://inaturalist-open-data.s3.amazonaws.com/photos/107733097/medium.jpg","(c) Алла Мойсеенок, some rights reserved (CC BY-NC), uploaded by Алла Мойсеенок"
"17","Muslin Footman","Nudaria mundana",TRUE,FALSE,"O",FALSE,FALSE,"",FALSE,"https://inaturalist-open-data.s3.amazonaws.com/photos/2840887/medium.jpg","(c) Janet Graham, some rights reserved (CC BY)"
"18","Round-winged Muslin","Thumatha senex",TRUE,TRUE,"P",FALSE,FALSE,"",FALSE,"https://inaturalist-open-data.s3.amazonaws.com/photos/9228721/medium.jpg","(c) Paul Cook, some rights reserved (CC BY-NC-ND), uploaded by Paul Cook"
"19","Rosy Footman","Miltochrista miniata",TRUE,TRUE,"P",FALSE,FALSE,"",FALSE,"https://inaturalist-open-data.s3.amazonaws.com/photos/1153277/medium.jpg","(c) nutmeg66, some rights reserved (CC BY-NC-ND)"
"20","Four-dotted Footman","Cybosia mesomella",TRUE,FALSE,"P",FALSE,FALSE,"",FALSE,"https://static.inaturalist.org/photos/19036869/medium.jpg","(c) sj_naturalist, all rights reserved"
"21","Buff Footman","Eilema depressa",TRUE,FALSE,"P",FALSE,TRUE,"",FALSE,"https://inaturalist-open-data.s3.amazonaws.com/photos/2840861/medium.jpg","(c) Tony Morris, some rights reserved (CC BY-NC)"
