abh_number ,b&f_number ,scientific_name ,vernacular_name ,family 
1.001,1,Micropterix tunbergella,,Micropterigidae
1.002,2,Micropterix mansuetella,,Micropterigidae
1.003,3,Micropterix aureatella,,Micropterigidae
1.004,4,Micropterix aruncella,,Micropterigidae
1.005,5,Micropterix calthella,,Micropterigidae
2,,Eriocraniidae,,Eriocraniidae
2.001,6,Dyseriocrania subpurpurella,,Eriocraniidae
2.002,7,Paracrania chrysolepidella,,Eriocraniidae
2.003,8,Eriocrania unimaculella,,Eriocraniidae
2.004,9,Eriocrania sparrmannella,,Eriocraniidae
2.005,10,Eriocrania salopiella,,Eriocraniidae
2.006,11,Eriocrania cicatricella,,Eriocraniidae
2.006,,Eriocrania haworthi,,Eriocraniidae
2.006,,Eriocrania purpurella,,Eriocraniidae
2.007,13,Eriocrania semipurpurella,,Eriocraniidae
2.008,12,Eriocrania sangii,,Eriocraniidae
4.001,118,Enteucha acetosae,,Nepticulidae
4.002,116,Stigmella lapponica,,Nepticulidae
4.003,117,Stigmella confusella,,Nepticulidae
4.004,90,Stigmella tiliae,,Nepticulidae
4.005,110,Stigmella betulicola,,Nepticulidae
4.005,,Stigmella betulicola f. nanivora,,Nepticulidae
4.006,113,Stigmella sakhalinella,,Nepticulidae
4.007,112,Stigmella luteella,,Nepticulidae
4.008,114,Stigmella glutinosae,,Nepticulidae
4.008,,Stigmella distinguenda,,Nepticulidae
4.009,115,Stigmella alnetella,,Nepticulidae
4.01,111,Stigmella microtheriella,,Nepticulidae
4.011,109,Stigmella prunetorum,,Nepticulidae
4.012,102,Stigmella aceris,,Nepticulidae
4.013,97,Stigmella malella,Apple Pygmy,Nepticulidae
4.014,98,Stigmella catharticella,,Nepticulidae
4.015,92,Stigmella anomalella,Rose Leaf Miner,Nepticulidae
4.016,94,Stigmella spinosissimae,,Nepticulidae
4.017,93,Stigmella centifoliella,,Nepticulidae
4.018,80,Stigmella ulmivora,,Nepticulidae
