abh_number,b&f_number,scientific_name,vernacular_name,family
3.003,,Korscheltellus fusconebulosa f. gallicus,Map-winged Swift,Hepialidae
3.005,,Hepialus humuli humuli,Ghost Moth,Hepialidae
3.005,,Hepialus humuli thulensis,Ghost Moth,Hepialidae
52.013,,Synanthedon salmachus,Currant Clearwing,Sesiidae
54.004,,Zygaena purpuralis caledonensis,Transparent Burnet,Zygaenidae
54.004,,Zygaena purpuralis sabulosa,Transparent Burnet,Zygaenidae
54.004,,Zygaena purpuralis segontii,Transparent Burnet,Zygaenidae
54.005,,Zygaena loti scotica,Slender Scotch Burnet,Zygaenidae
54.006,,Zygaena exulans subochracea,Scotch Burnet,Zygaenidae
54.007,,Zygaena viciae anglica,New Forest Burnet,Zygaenidae
54.007,,Zygaena viciae argyllensis,New Forest Burnet,Zygaenidae
54.007,,Zygaena viciae ytenensis,New Forest Burnet,Zygaenidae
54.008,,Zygaena filipendulae stephensi,Six-spot Burnet,Zygaenidae
54.008,,Zygaena filipendulae x lonicerae,Hybrid Burnet,Zygaenidae
54.009,,Zygaena lonicerae insularis,Narrow-bordered Five-spot Burnet,Zygaenidae
54.009,,Zygaena lonicerae jocelynae,Talisker Narrow-bordered Five Spot Burnet,Zygaenidae
54.009,,Zygaena lonicerae latomarginata,Narrow-bordered Five-spot Burnet,Zygaenidae
54.01,,Zygaena trifolii f. decreta,Five-spot Burnet,Zygaenidae
54.01,,Zygaena trifolii f. palustrella,Five-spot Burnet,Zygaenidae
56.003,,Papilio machaon britannicus,Swallowtail (England),Papilionidae
56.003,,Papilio machaon gorganus,Swallowtail (Continental),Papilionidae
57.001,,Erynnis tages baynesi,"Dingy Skipper (Burren, Ireland)",Hesperiidae
57.001,,Erynnis tages tages,Dingy Skipper (Most of UK),Hesperiidae
57.009,,Ochlodes faunus,Large Skipper,Hesperiidae
57.009,,Ochlodes venata,Large Skipper,Hesperiidae
58.002,,Leptidea sinapis juvernica,Cryptic Wood White,Pieridae
58.003,,Anthocharis cardamines britannica,"Orange-tip (England, Scotland and Wales)",Pieridae
58.003,,Anthocharis cardamines hibernica,Orange-tip (Ireland),Pieridae
58.008,,Pieris napi britannica,Green-veined White (Ireland),Pieridae
58.008,,Pieris napi sabellicae,Green-veined White (England and Wales),Pieridae
58.008,,Pieris napi thomsoni,Green-veined White (Scotland),Pieridae
58.01,,Colias croceus f. helice,Clouded Yellow (Pale female form),Pieridae
58.013,,Gonepteryx rhamni gravesi,Brimstone (Ireland),Pieridae
58.013,,Gonepteryx rhamni rhamni,Brimstone (Most of UK),Pieridae
59.003,,Pararge aegeria insula,Speckled Wood (Isles of Scilly),Nymphalidae
59.003,,Pararge aegeria oblita,Speckled Wood (West and North-west Scotland),Nymphalidae
59.003,,Pararge aegeria tircis,Speckled Wood (Most of UK),Nymphalidae
59.004,,Coenonympha tullia davus,Large Heath (England),Nymphalidae
59.004,,Coenonympha tullia polydama,"Large Heath (Parts of England, Wales, Scotland and Ireland)",Nymphalidae
59.004,,Coenonympha tullia scotica,Large Heath (Northern Scotland),Nymphalidae
59.005,,Coenonympha pamphilus pamphilus,Small Heath (Most of UK),Nymphalidae
59.005,,Coenonympha pamphilus rhoumensis,Small Heath (Isle of Rhum and other Isles),Nymphalidae
59.007,,Erebia epiphron mnemon,"Mountain Ringlet (England, Wales and Southern Scotland)",Nymphalidae
59.007,,Erebia epiphron scotica,Mountain Ringlet (Northern Scotland),Nymphalidae
59.008,,Erebia aethiops aethiops,Scotch Argus (England and North-east Scotland),Nymphalidae
59.008,,Erebia aethiops caledonia,Scotch Argus (Western and South-west Scotland),Nymphalidae
59.01,,Maniola jurtina cassiteridum,Meadow Brown (Isles of Scilly),Nymphalidae
59.01,,Maniola jurtina iernes,Meadow Brown (Ireland),Nymphalidae
59.01,,Maniola jurtina insularis,"Meadow Brown (England, Wales and Scotland)",Nymphalidae
59.01,,Maniola jurtina splendida,Meadow Brown (Scotland),Nymphalidae
59.013,,Hipparchia semele atlantica,"Grayling (Outer Hebrides, Scotland)",Nymphalidae
59.013,,Hipparchia semele clarensis,"Grayling (Burren, Ireland)",Nymphalidae
59.013,,Hipparchia semele hibernica,Grayling (Ireland),Nymphalidae
59.013,,Hipparchia semele scota,Grayling (Northern Scotland),Nymphalidae
59.013,,Hipparchia semele semele,Grayling (England and Wales),Nymphalidae
59.013,,Hipparchia semele thyone,"Grayling (Great Ormes Head, Llandudno)",Nymphalidae
59.015,,Boloria selene insularum,Small Pearl-Bordered Fritillary (North and West Scotland),Nymphalidae
59.017,,Argynnis paphia f. valesina,Silver-washed Fritillary (Dark female form),Nymphalidae
59.019,,Argynnis aglaja scotica,Dark Green Fritillary (Scotland),Nymphalidae
59.026,,Inachis io,Peacock,Nymphalidae
59.033,,Euphydryas aurinia hibernica,Marsh Fritillary (Ireland),Nymphalidae
59.036,,Mellicta athalia,Heath Fritillary,Nymphalidae
61.001,,Lycaena phlaeas eleus,"Small Copper (England, Scotland and Wales)",Lycaenidae
61.001,,Lycaena phlaeas hibernica,Small Copper (Ireland),Lycaenidae
61.002,,Lycaena dispar batavus,Large Copper (Continental: Introduced),Lycaenidae
61.002,,Lycaena dispar dispar,Large Copper (Extinct English),Lycaenidae
61.002,,Lycaena dispar rutilus,Large Copper (Continental: Introduction failed),Lycaenidae
61.004,,Neozephyrus quercus,Purple Hairstreak,Lycaenidae
61.011,,Everes argiades,Short-tailed Blue,Lycaenidae
61.013,,Maculinea arion arion,Large Blue (Continental: Introduced),Lycaenidae
61.013,,Maculinea arion eutyphron,Large Blue (Extinct English),Lycaenidae
61.014,,Plebejus argus argus,Silver-studded Blue (Most of UK),Lycaenidae
61.014,,Plebejus argus caernensis,Silver-studded Blue (North Wales),Lycaenidae
61.014,,Plebejus argus cretaceus,Silver-studded Blue (Extinct Southern Chalk),Lycaenidae
61.014,,Plebejus argus masseyi,Silver-studded Blue (Extinct Northern England),Lycaenidae
61.016,,Aricia artaxerxes artaxerxes,Northern Brown Argus (Scotland),Lycaenidae
61.016,,Aricia artaxerxes salmacis,Northern Brown Argus (Northern England),Lycaenidae
61.018,,Polyommatus icarus f. Tean,Common Blue (Tean form),Lycaenidae
61.018,,Polyommatus icarus icarus,"Common Blue (England, Scotland and Wales)",Lycaenidae
61.018,,Polyommatus icarus mariscolore,Common Blue (Ireland),Lycaenidae
61.019,,Lysandra bellargus,Adonis Blue,Lycaenidae
61.02,,Lysandra coridon,Chalk Hill Blue,Lycaenidae
65.005,,Drepana falcataria falcataria,Pebble Hook-tip,Drepanidae
65.005,,Drepana falcataria scotica,Pebble Hook-tip,Drepanidae
65.01,,Tethea ocularis octogesimea,Figure of Eighty,Drepanidae
65.011,,Tethea or hibernica,Poplar Lutestring,Drepanidae
65.011,,Tethea or scotica,Poplar Lutestring,Drepanidae
65.014,,Cymatophorima diluta hartwiegi,Oak Lutestring,Drepanidae
65.016,,Achlya flavicornis galbanus,Yellow Horned,Drepanidae
65.016,,Achlya flavicornis scotica,Yellow Horned,Drepanidae
66.006,,Lasiocampa trifolii flava,Grass Eggar,Drepanidae
66.006,,Lasiocampa trifolii trifolii,Grass Eggar,Drepanidae
66.007,,Lasiocampa quercus f. callunae,Northern Eggar,Drepanidae
66.007,,Lasiocampa quercus quercus,Oak Eggar,Drepanidae
70.003,,Idaea ochrata cantiata,Bright Wave,Geometridae
70.004,,Idaea rusticata atrosignaria,Least Carpet,Geometridae
70.014,,Idaea contiguaria britanniae,Weaver's Wave,Geometridae
