abh_number,plant_species,hostplant_category
3.001,Bracken Pteridium aquilinum,1
3.001,dandelions Taraxacum spp.,1
3.001, Broad-leaved Dock Rumex obtusifolius,1
3.001,grasses ,1
3.001,viper's-buglosses Echium spp.,1
3.002, Red Dead-nettle Lamium purpureum,1
3.002, White Dead-nettle Lamium album,1
3.002,docks Rumex spp.,1
3.002,geraniums Pelargonium spp.,1
3.002, Black Horehound Ballota nigra,1
3.002,grasses ,1
3.003, Red Fescue Festuca rubra,1
3.003,Bracken Pteridium aquilinum,1
3.004,mosses,1
3.004,Bracken Pteridium aquilinum,1
3.004,Bracken Pteridium aquilinum,1
3.004, Swan's-neck Thyme-moss Mnium hornum,1
3.005,burdocks Arctium spp.,1
3.005,dead-nettles Lamium spp.,1
3.005, Water Figwort Scrophularia auriculata,1
3.005,Hop Humulus lupulus,1
3.005,nettles Urtica spp.,1
3.005, Wild Strawberry Fragaria vesca,1
3.005,dandelions Taraxacum spp.,1
3.005,docks Rumex spp.,1
3.005, Black Horehound Ballota nigra,1
3.005,grasses ,1
50.001,Alder Alnus glutinosa,1
50.001,Apple Malus domestica,1
50.001,Ash Fraxinus excelsior,1
50.001,birches Betula spp.,1
50.001,Plum Prunus domestica,1
50.001, Sweet Chestnut Castanea sativa,1
50.001, English Elm Ulmus procera,1
50.001, Pedunculate Oak Quercus robur,1
50.001,Pear Pyrus communis,1
50.001,poplars Populus spp.,1
50.001,willows Salix spp.,1
50.002,Beech Fagus sylvatica,1
50.002,Blackthorn Prunus spinosa,1
50.002,cherries Prunus spp.,1
50.002, Black Currant Ribes nigrum,1
50.002,elms Ulmus spp.,1
50.002,Hawthorn Crataegus monogyna,1
50.002,Honeysuckle Lonicera periclymenum,1
50.002,Horse-chestnut Aesculus hippocastanum,1
50.002,Lilac Syringa vulgaris,1
50.002,Sycamore Acer pseudoplatanus,1
50.002,oaks Quercus spp.,1
50.002,privets Ligustrum spp.,1
50.002,Wayfaring-tree Viburnum lantana,1
50.002,Rowan Sorbus aucuparia,1
50.002,Apple Malus domestica,1
50.002,Ash Fraxinus excelsior,1
50.002,birches Betula spp.,1
50.002,Pear Pyrus communis,1
50.002,willows Salix spp.,1
50.003, Common Reed Phragmites australis,1
52.001,Raspberry Rubus idaeus,1
52.002,Aspen Populus tremula,1
52.002,Black-poplar Populus nigra,1
52.002, Hybrid Black-poplar Populus x canadensis,1
52.002,Lombardy-poplar Populus nigra,1
52.002, Grey Poplar Populus x canescens,1
52.002, White Poplar Populus alba,1
52.002,willows Salix spp.,1
52.002,balsam-poplars Populus spp.,1
52.002, Siberian Crack-willow Salix acutifolia,1
52.003, Hybrid Salix x fragilis,1
52.003, Goat Willow Salix caprea,1
52.003, Grey Willow Salix cinerea,1
52.003,Black-poplar Populus nigra,1
52.003,Lombardy-poplar Populus nigra,1
52.003,willows Salix spp.,1
52.005, Downy Birch Betula pubescens,1
52.005, Silver Birch Betula pendula,1
